hh1,hh2,hh6,hh7,zone,ln,mn_age_yrs,mn_attended_sch,mn_mstatus,mma1,mwage,mn_overall_happiness,mn_life_satisfaction,mn_life_satisfaction_last_year,mn_life_satisfaction_expectation,mn_education,windex5,survey,consent,mnweight
5.0,13.0,URBAN,ABIA,South East,1.0,37.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.418876459809168
5.0,15.0,URBAN,ABIA,South East,1.0,48.0,YES,Never married/in union,"NO, NOT IN UNION",45-49,NEITHER HAPPY NOR UNHAPPY,7,MORE OR LESS THE SAME,BETTER,Primary,Fourth,MICS,YES,0.418876459809168
5.0,17.0,URBAN,ABIA,South East,1.0,37.0,YES,Never married/in union,"NO, NOT IN UNION",35-39,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Junior secondary,Fourth,MICS,YES,0.418876459809168
5.0,19.0,URBAN,ABIA,South East,1.0,42.0,YES,Never married/in union,"NO, NOT IN UNION",40-44,SOMEWHAT HAPPY,8,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.418876459809168
6.0,2.0,URBAN,ABIA,South East,1.0,40.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Primary,Fourth,MICS,YES,0.418876459809168
6.0,4.0,URBAN,ABIA,South East,1.0,48.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.418876459809168
6.0,8.0,URBAN,ABIA,South East,1.0,38.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Richest,MICS,YES,0.418876459809168
6.0,10.0,URBAN,ABIA,South East,1.0,34.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Senior secondary,Richest,MICS,YES,0.418876459809168
6.0,12.0,URBAN,ABIA,South East,1.0,42.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,BETTER,Primary,Fourth,MICS,YES,0.418876459809168
6.0,14.0,URBAN,ABIA,South East,1.0,36.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,4,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.418876459809168
6.0,16.0,URBAN,ABIA,South East,4.0,24.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,8,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.418876459809168
6.0,16.0,URBAN,ABIA,South East,5.0,22.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,9,MORE OR LESS THE SAME,BETTER,Primary,Fourth,MICS,YES,0.418876459809168
6.0,16.0,URBAN,ABIA,South East,6.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,7,MORE OR LESS THE SAME,BETTER,Primary,Fourth,MICS,YES,0.418876459809168
6.0,16.0,URBAN,ABIA,South East,7.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,7,IMPROVED,BETTER,Primary,Fourth,MICS,YES,0.418876459809168
6.0,20.0,URBAN,ABIA,South East,1.0,42.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Senior secondary,Richest,MICS,YES,0.418876459809168
7.0,1.0,URBAN,ABIA,South East,1.0,45.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,VERY UNHAPPY,2,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Junior secondary,Fourth,MICS,YES,0.26179778738073
7.0,3.0,URBAN,ABIA,South East,3.0,29.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Richest,MICS,YES,0.26179778738073
7.0,3.0,URBAN,ABIA,South East,4.0,27.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,VERY UNHAPPY,2,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Richest,MICS,YES,0.26179778738073
7.0,7.0,URBAN,ABIA,South East,1.0,44.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,VERY UNHAPPY,2,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.26179778738073
7.0,9.0,URBAN,ABIA,South East,1.0,42.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,VERY UNHAPPY,3,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.26179778738073
7.0,9.0,URBAN,ABIA,South East,3.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT UNHAPPY,3,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.26179778738073
7.0,9.0,URBAN,ABIA,South East,4.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.26179778738073
7.0,11.0,URBAN,ABIA,South East,1.0,29.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,VERY UNHAPPY,2,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.26179778738073
7.0,13.0,URBAN,ABIA,South East,1.0,46.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.26179778738073
7.0,13.0,URBAN,ABIA,South East,3.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.26179778738073
7.0,15.0,URBAN,ABIA,South East,3.0,23.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.26179778738073
7.0,15.0,URBAN,ABIA,South East,7.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.26179778738073
7.0,17.0,URBAN,ABIA,South East,2.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.26179778738073
7.0,19.0,URBAN,ABIA,South East,2.0,46.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,VERY UNHAPPY,2,WORSENED,WORSE,Junior secondary,Fourth,MICS,YES,0.26179778738073
8.0,1.0,URBAN,ABIA,South East,2.0,31.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,SOMEWHAT UNHAPPY,3,WORSENED,WORSE,Senior secondary,Fourth,MICS,YES,0.458146127916277
8.0,3.0,URBAN,ABIA,South East,6.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.458146127916277
8.0,5.0,URBAN,ABIA,South East,1.0,48.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT UNHAPPY,3,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.458146127916277
8.0,7.0,URBAN,ABIA,South East,1.0,31.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.458146127916277
8.0,9.0,URBAN,ABIA,South East,1.0,33.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,SOMEWHAT UNHAPPY,4,WORSENED,WORSE,Senior secondary,Richest,MICS,YES,0.458146127916277
8.0,11.0,URBAN,ABIA,South East,3.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.458146127916277
8.0,13.0,URBAN,ABIA,South East,2.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT UNHAPPY,3,WORSENED,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.458146127916277
8.0,13.0,,,,4.0,,,,,,,,,,,0.0,MICS,,0.0
8.0,15.0,URBAN,ABIA,South East,1.0,45.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT UNHAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.458146127916277
8.0,15.0,URBAN,ABIA,South East,2.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.458146127916277
8.0,17.0,URBAN,ABIA,South East,1.0,49.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT UNHAPPY,3,WORSENED,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.458146127916277
8.0,19.0,URBAN,ABIA,South East,1.0,43.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT UNHAPPY,6,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.458146127916277
9.0,2.0,URBAN,ABIA,South East,1.0,28.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.811573140880262
9.0,2.0,URBAN,ABIA,South East,2.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.811573140880262
9.0,4.0,URBAN,ABIA,South East,1.0,27.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.811573140880262
9.0,6.0,URBAN,ABIA,South East,1.0,28.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,SOMEWHAT UNHAPPY,3,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.811573140880262
9.0,8.0,URBAN,ABIA,South East,1.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT UNHAPPY,3,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Junior secondary,Fourth,MICS,YES,0.811573140880262
9.0,10.0,URBAN,ABIA,South East,1.0,38.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT UNHAPPY,3,WORSENED,WORSE,Senior secondary,Richest,MICS,YES,0.811573140880262
9.0,12.0,URBAN,ABIA,South East,1.0,39.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT UNHAPPY,2,WORSENED,WORSE,Senior secondary,Fourth,MICS,YES,0.811573140880262
9.0,14.0,URBAN,ABIA,South East,1.0,36.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,VERY UNHAPPY,2,WORSENED,WORSE,Higher/tertiary,Fourth,MICS,YES,0.811573140880262
9.0,16.0,URBAN,ABIA,South East,1.0,29.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",25-29,SOMEWHAT UNHAPPY,3,WORSENED,WORSE,Senior secondary,Middle,MICS,YES,0.811573140880262
9.0,18.0,URBAN,ABIA,South East,1.0,33.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Middle,MICS,YES,0.811573140880262
9.0,18.0,URBAN,ABIA,South East,6.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Primary,Middle,MICS,YES,0.811573140880262
9.0,18.0,URBAN,ABIA,South East,7.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Primary,Middle,MICS,YES,0.811573140880262
9.0,20.0,URBAN,ABIA,South East,1.0,30.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,SOMEWHAT UNHAPPY,3,WORSENED,WORSE,Senior secondary,Richest,MICS,YES,0.811573140880262
10.0,4.0,RURAL,ABIA,South East,1.0,24.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,7,IMPROVED,BETTER,Primary,Fourth,MICS,YES,0.566765935534724
10.0,8.0,RURAL,ABIA,South East,1.0,37.0,YES,Never married/in union,"NO, NOT IN UNION",35-39,NEITHER HAPPY NOR UNHAPPY,8,MORE OR LESS THE SAME,BETTER,Senior secondary,Second,MICS,YES,0.566765935534724
10.0,12.0,RURAL,ABIA,South East,2.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
10.0,16.0,RURAL,ABIA,South East,2.0,27.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Middle,MICS,YES,0.566765935534724
10.0,20.0,RURAL,ABIA,South East,1.0,40.0,YES,Formerly married/in union,"NO, NOT IN UNION",40-44,SOMEWHAT UNHAPPY,9,MORE OR LESS THE SAME,BETTER,Senior secondary,Second,MICS,YES,0.566765935534724
11.0,1.0,RURAL,ABIA,South East,2.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,8,MORE OR LESS THE SAME,BETTER,Senior secondary,Middle,MICS,YES,0.850148903302087
11.0,3.0,RURAL,ABIA,South East,1.0,30.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,NEITHER HAPPY NOR UNHAPPY,7,MORE OR LESS THE SAME,BETTER,Senior secondary,Richest,MICS,YES,0.850148903302087
11.0,9.0,RURAL,ABIA,South East,1.0,42.0,YES,Never married/in union,"NO, NOT IN UNION",40-44,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Primary,Fourth,MICS,YES,0.850148903302087
11.0,11.0,RURAL,ABIA,South East,1.0,40.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,NEITHER HAPPY NOR UNHAPPY,6,MORE OR LESS THE SAME,BETTER,Primary,Fourth,MICS,YES,0.850148903302087
11.0,15.0,RURAL,ABIA,South East,1.0,40.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Middle,MICS,YES,0.850148903302087
11.0,17.0,RURAL,ABIA,South East,1.0,42.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Fourth,MICS,YES,0.850148903302087
11.0,19.0,RURAL,ABIA,South East,4.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,7,MORE OR LESS THE SAME,BETTER,Senior secondary,Richest,MICS,YES,0.850148903302087
13.0,3.0,RURAL,ABIA,South East,1.0,47.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Primary,Poorest,MICS,YES,0.739001169550967
13.0,3.0,RURAL,ABIA,South East,3.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,NEITHER HAPPY NOR UNHAPPY,8,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Primary,Poorest,MICS,YES,0.739001169550967
13.0,7.0,RURAL,ABIA,South East,1.0,36.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Senior secondary,Middle,MICS,YES,0.739001169550967
13.0,13.0,RURAL,ABIA,South East,1.0,32.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Junior secondary,Poorest,MICS,YES,0.739001169550967
13.0,17.0,RURAL,ABIA,South East,3.0,27.0,NO,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,8,MORE OR LESS THE SAME,BETTER,None,Second,MICS,YES,0.739001169550967
13.0,19.0,RURAL,ABIA,South East,1.0,37.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,NEITHER HAPPY NOR UNHAPPY,8,MORE OR LESS THE SAME,BETTER,Primary,Middle,MICS,YES,0.739001169550967
14.0,2.0,RURAL,ABIA,South East,1.0,45.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.560621576900733
